Isaac Hayes;You've Lost That Lovin' Feelin';To Be Continued;1970;Soul / Funk / Disco;Sadat X;The Interview;Wild Cowboys;1996;S;4;http://www.whosampled.com/sample/view/2997/Sadat%20X%20feat.%20Regina%20Hall-The%20Interview_Isaac%20Hayes-You've%20Lost%20That%20Lovin'%20Feelin'/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;Moda Et Dan;C'est Défoulant;Le Mec Fier Le + Sophistiqué;1995;S;0;http://www.whosampled.com/sample/view/101314/Moda%20Et%20Dan-C'est%20D%C3%A9foulant_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;Ike's Mood I;...To Be Continued;1970;Soul / Funk / Disco;Styles P;Super Gangster;Super Gangster (Extradinary Gentleman);2007;S;0;http://www.whosampled.com/sample/view/3597/Styles%20P-Super%20Gangster_Isaac%20Hayes-Ike's%20Mood%20I/
Isaac Hayes;You've Lost That Lovin' Feelin';To Be Continued;1970;Soul / Funk / Disco;Lord Finesse;Down for the Underground;Showtime / Down for the Underground;2001;S;4;http://www.whosampled.com/sample/view/115368/Lord%20Finesse-Down%20for%20the%20Underground_Isaac%20Hayes-You've%20Lost%20That%20Lovin'%20Feelin'/
Isaac Hayes;Breakthrough;Truck Turner OST;1974;Soul / Funk / Disco;Raekwon;Snake Pond;Shaolin vs. Wu-Tang;2011;S;1;http://www.whosampled.com/sample/view/95011/Raekwon-Snake%20Pond_Isaac%20Hayes-Breakthrough/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Little Bruce;Mobbin' in My Old School;XXXtra Manish;1994;S;4;http://www.whosampled.com/sample/view/128144/Little%20Bruce-Mobbin'%20in%20My%20Old%20School_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Viktor Vaughn;Lickupon;Vaudeville Villain;2003;S;0;http://www.whosampled.com/sample/view/2652/Viktor%20Vaughn-Lickupon_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Medley: Ike's Rap III/Your Love Is So Doggone Good;Black Moses;1971;Soul / Funk / Disco;Cormega;Love in Love Out;The True Meaning;2002;S;0;http://www.whosampled.com/sample/view/94/Cormega-Love%20in%20Love%20Out_Isaac%20Hayes-Medley:%20Ike's%20Rap%20III/Your%20Love%20Is%20So%20Doggone%20Good/
Isaac Hayes;Joy;Joy;1973;Soul / Funk / Disco;Compton's Most Wanted;I'm Wit Dat;It's a Compton Thang;1990;S;0;http://www.whosampled.com/sample/view/7180/Compton's%20Most%20Wanted-I'm%20Wit%20Dat_Isaac%20Hayes-Joy/
Isaac Hayes;Ike's Mood I;...To Be Continued;1970;Soul / Funk / Disco;Grandmaster Melle Mel;Piano;Piano;1989;S;0;http://www.whosampled.com/sample/view/120158/Grandmaster%20Melle%20Mel%20and%20The%20Furious%20Five-Piano_Isaac%20Hayes-Ike's%20Mood%20I/
